"Origin","Destination","Transport","TimeHours","CostUSD","LastUpdated","Note"
"Abu Dhabi","Canberra","plane","18.35","792.37","2026-06-24","Estimated from geodesic distance model"
"Abu Dhabi","Lima","plane","26.71","934.28","2026-06-24","Estimated from geodesic distance model"
"Abu Dhabi","London","plane","8.61","398.62","2026-06-24","Estimated from geodesic distance model"
"Abu Dhabi","Manama","plane","1.38","88.79","2026-06-24","Estimated from geodesic distance model"
"Abu Dhabi","Muscat","bus","6.67","20.48","2026-06-24","Estimated from geodesic distance model"
"Abu Dhabi","Muscat","plane","1.43","83.44","2026-06-24","Estimated from geodesic distance model"
"Abu Dhabi","Pretoria","plane","10.19","433.48","2026-06-24","Estimated from geodesic distance model"
"Abu Dhabi","Riyadh","plane","1.87","104.88","2026-06-24","Estimated from geodesic distance model"
"Abu Dhabi","Singapore","plane","9.03","421.81","2026-06-24","Estimated from geodesic distance model"
"Abu Dhabi","Washington DC","plane","17.97","768.15","2026-06-24","Estimated from geodesic distance model"
"Abuja","Cairo","plane","4.72","268.27","2026-06-24","Estimated from geodesic distance model"
"Abuja","N'Djamena","bus","13.92","35.67","2026-06-24","Estimated from geodesic distance model"
"Accra","Freetown","plane","2.68","143.71","2026-06-24","Estimated from geodesic distance model"
"Accra","Lome","plane","1.15","70.33","2026-06-24","Estimated from geodesic distance model"
"Accra","Ouagadougou","plane","1.87","105.19","2026-06-24","Estimated from geodesic distance model"
"Accra","Yamoussoukro","plane","1.63","92.77","2026-06-24","Estimated from geodesic distance model"
"Addis Ababa","Bamako","plane","8.46","351.07","2026-06-24","Estimated from geodesic distance model"
"Addis Ababa","Cairo","plane","3.8","198.16","2026-06-24","Estimated from geodesic distance model"
"Addis Ababa","Djibouti","plane","1.49","86.09","2026-06-24","Estimated from geodesic distance model"
"Addis Ababa","Mogadishu","plane","2.22","121.73","2026-06-24","Estimated from geodesic distance model"
"Algiers","Nassau","plane","10.75","515.73","2026-06-24","Estimated from geodesic distance model"
"Algiers","Tunis","plane","1.64","93.03","2026-06-24","Estimated from geodesic distance model"
"Amman","Baghdad","plane","1.91","106.83","2026-06-24","Estimated from geodesic distance model"
"Amman","Baghdad","plane","1.91","106.83","2026-06-24","Estimated from geodesic distance model"
"Amman","Beirut","plane","1.17","70.35","2026-06-24","Estimated from geodesic distance model"
"Amman","Cairo","bus","8.13","22.16","2026-06-24","Estimated from geodesic distance model"
"Amman","Damascus","bus","3.3","10.74","2026-06-24","Estimated from geodesic distance model"
"Amman","Jerusalem","plane","0.95","65.52","2026-06-24","Estimated from geodesic distance model"
"Amsterdam","Berlin","bus","9.29","24.8","2026-06-24","Estimated from geodesic distance model"
"Amsterdam","Berlin","train","5.75","38.41","2026-06-24","Estimated from geodesic distance model"
"Amsterdam","Brussels","bus","3.22","11.59","2026-06-24","Estimated from geodesic distance model"
"Amsterdam","Brussels","train","2.1","20.3","2026-06-24","Estimated from geodesic distance model"
"Amsterdam","Canberra","plane","29.18","1052.89","2026-06-24","Estimated from geodesic distance model"
"Amsterdam","Lima","plane","16.77","706.84","2026-06-24","Estimated from geodesic distance model"
"Amsterdam","London","plane","1.35","79.09","2026-06-24","Estimated from geodesic distance model"
"Amsterdam","Pretoria","plane","13.23","582.34","2026-06-24","Estimated from geodesic distance model"
"Amsterdam","Singapore","plane","17.74","676.49","2026-06-24","Estimated from geodesic distance model"
"Amsterdam","Washington DC","plane","9.6","450.02","2026-06-24","Estimated from geodesic distance model"
"Andorra la Vella","Madrid","bus","8.1","22.03","2026-06-24","Estimated from geodesic distance model"
"Andorra la Vella","Paris","train","7.17","45.73","2026-06-24","Estimated from geodesic distance model"
"Ankara","Cairo","plane","2.15","130.25","2026-06-24","Estimated from geodesic distance model"
"Ankara","Nicosia","train","5.5","37.38","2026-06-24","Estimated from geodesic distance model"
"Ankara","Tehran","plane","2.92","155.37","2026-06-24","Estimated from geodesic distance model"
"Ankara","Yaounde","plane","6.04","339.1","2026-06-24","Estimated from geodesic distance model"
"Antananarivo","Moroni","plane","2.01","111.11","2026-06-24","Estimated from geodesic distance model"
